,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,value
262,Bamford,Leeds,FWD,23.3,58,220,1340575,5.0,29,5.0
188,Calvert-Lewin,Everton,FWD,34.3,74,248,1823626,4.2,31,4.2
75,Maupay,Brighton,FWD,3.5,65,270,162796,4.0,26,4.0
234,Vardy,Leicester,FWD,22.6,100,264,602238,3.2,32,3.2
476,Robinson,West Brom,FWD,0.7,55,214,43078,2.9,16,2.9
395,Wilson,Newcastle,FWD,10.3,64,264,444978,2.8,18,2.8
190,de Andrade,Everton,FWD,12.0,80,269,331317,2.8,22,2.8
451,Kane,Spurs,FWD,17.9,105,263,473747,2.7,28,2.7
427,Ings,Southampton,FWD,19.5,84,270,272828,2.6,22,2.6
211,Mitrović,Fulham,FWD,19.5,60,207,364047,2.5,15,2.5
