,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,value
32,Martínez,Aston Villa,GKP,12.8,45,180,583327,4.2,19,4.2
372,Darlow,Newcastle,GKP,0.9,50,270,47845,3.4,17,3.4
148,Guaita,Crystal Palace,GKP,4.5,50,270,187085,3.0,15,3.0
273,Meslier,Leeds,GKP,2.1,45,270,86552,2.9,13,2.9
292,Ramses Becker,Liverpool,GKP,13.8,60,270,167154,2.8,17,2.8
7,Leno,Arsenal,GKP,9.1,50,270,197640,2.4,12,2.4
181,Pickford,Everton,GKP,9.5,50,270,320099,2.2,11,2.2
77,Ryan,Brighton,GKP,17.6,45,270,230935,1.8,8,1.8
505,Fabianski,West Ham,GKP,1.4,50,270,6326,1.8,9,1.8
528,dos Santos Patrício,Wolves,GKP,7.0,55,270,131237,1.8,10,1.8
